index,score
376,0.0
378,0.0
379,0.2
380,0.3
381,0.0
382,0.7
383,0.3
384,0.9
385,0.0
386,0.9
387,0.3
388,0.0
347,0.6
389,0.6
390,0.6
392,0.3
393,0.3
394,0.6
391,0.6
396,0.2
397,0.2
398,0.0
399,0.3
400,0.0
395,0.7
402,0.7
403,0.7
404,0.9
405,0.6
406,0.3
407,0.6
408,0.3
401,0.6
410,0.2
409,0.7
411,0.6
412,0.3
414,0.0
415,0.6
416,0.0
417,1.0
418,0.2
419,0.3
377,0.7
420,0.0
421,0.7
422,0.3
424,0.6
423,0.3
426,0.6
427,0.0
428,0.6
425,0.6
429,0.2
430,0.6
431,0.6
432,0.7
434,0.0
433,0.3
435,0.6
437,0.9
438,0.0
439,0.6
440,0.0
441,0.6
442,0.0
443,0.0
444,0.9
445,0.0
446,0.6
413,0.7
447,0.6
448,0.3
449,0.0
451,0.9
450,0.3
452,0.3
454,0.6
453,0.6
456,0.2
455,0.7
457,0.3
458,0.3
460,0.6
461,0.0
462,0.3
463,0.3
459,0.6
464,0.6
466,0.6
467,0.0
468,1.0
469,0.0
465,0.6
470,0.3
472,0.3
473,0.6
436,0.9
471,0.9
474,0.6
477,0.0
476,0.6
479,0.7
480,0.0
478,0.6
482,0.0
483,0.2
475,0.6
484,0.9
485,0.0
487,0.7
488,0.0
489,0.3
490,0.7
486,0.3
491,0.0
493,0.2
494,0.6
495,0.0
496,0.6
481,0.6
497,0.7
498,0.7
499,0.6
501,0.6
500,0.6
503,0.6
502,0.6
505,0.6
506,0.0
504,0.6
507,0.7
508,0.6
509,0.6
510,0.0
511,0.0
512,0.3
514,0.0
515,0.6
516,0.7
517,0.3
518,0.0
519,0.6
513,0.6
520,0.6
521,0.9
522,0.9
523,0.6
525,0.9
526,0.6
527,0.6
528,0.2
529,0.3
492,0.6
524,0.6
530,0.6
531,0.2
532,0.2
534,0.7
533,0.6
536,0.3
537,0.3
538,0.3
539,0.9
535,0.0
540,0.6
541,0.9
544,0.6
545,0.0
543,0.3
546,0.3
547,0.6
549,0.0
550,0.6
551,0.3
548,0.3
552,0.7
553,0.0
555,0.6
542,0.7
557,0.2
556,0.7
559,0.2
558,0.6
554,0.6
561,0.6
562,0.6
564,0.2
563,0.6
566,0.3
567,0.3
568,0.0
569,0.6
570,0.7
571,0.6
565,0.6
572,0.6
574,0.6
573,0.2
575,0.7
576,0.7
577,0.7
560,0.6
