imgsz,conf,iou,n,exact,within1,mae
1536,0.15,0.6,86,67.44186046511628,94.18604651162791,0.5
1536,0.2,0.6,86,73.25581395348837,95.34883720930233,0.43023255813953487
1536,0.25,0.6,86,72.09302325581395,95.34883720930233,0.45348837209302323
1536,0.3,0.6,86,72.09302325581395,95.34883720930233,0.45348837209302323
1536,0.35,0.6,86,73.25581395348837,95.34883720930233,0.4418604651162791
1536,0.4,0.6,86,74.4186046511628,94.18604651162791,0.45348837209302323
1536,0.45,0.6,86,73.25581395348837,93.02325581395348,0.4883720930232558
1536,0.5,0.6,86,72.09302325581395,93.02325581395348,0.5232558139534884
1536,0.6,0.6,86,69.76744186046511,86.04651162790698,0.7093023255813954
1536,0.05,0.7,86,26.74418604651163,55.81395348837209,1.627906976744186
1536,0.1,0.7,86,45.348837209302324,79.06976744186046,0.9767441860465116
1536,0.15,0.7,86,58.13953488372093,84.88372093023256,0.6976744186046512
1536,0.2,0.7,86,62.7906976744186,90.69767441860465,0.5813953488372093
1536,0.25,0.7,86,63.95348837209303,90.69767441860465,0.5813953488372093
1536,0.3,0.7,86,63.95348837209303,91.86046511627907,0.5697674418604651
1536,0.35,0.7,86,67.44186046511628,93.02325581395348,0.5232558139534884
1536,0.4,0.7,86,69.76744186046511,91.86046511627907,0.5232558139534884
1536,0.45,0.7,86,68.6046511627907,90.69767441860465,0.5581395348837209
1536,0.5,0.7,86,67.44186046511628,91.86046511627907,0.5813953488372093
1536,0.6,0.7,86,68.6046511627907,87.20930232558139,0.7093023255813954
1792,0.05,0.3,86,27.906976744186046,72.09302325581395,1.2209302325581395
1792,0.1,0.3,86,34.883720930232556,73.25581395348837,1.1395348837209303
1792,0.15,0.3,86,36.04651162790697,74.4186046511628,1.1511627906976745
1792,0.2,0.3,86,33.72093023255814,74.4186046511628,1.186046511627907
1792,0.25,0.3,86,34.883720930232556,70.93023255813954,1.2209302325581395
1792,0.3,0.3,86,34.883720930232556,70.93023255813954,1.255813953488372
1792,0.35,0.3,86,36.04651162790697,70.93023255813954,1.2674418604651163
1792,0.4,0.3,86,36.04651162790697,69.76744186046511,1.302325581395349
1792,0.45,0.3,86,34.883720930232556,67.44186046511628,1.3372093023255813
1792,0.5,0.3,86,34.883720930232556,66.27906976744185,1.4186046511627908
1792,0.6,0.3,86,31.3953488372093,61.627906976744185,1.5930232558139534
1792,0.05,0.45,86,50.0,83.72093023255815,0.8255813953488372
1792,0.1,0.45,86,62.7906976744186,90.69767441860465,0.5813953488372093
1792,0.15,0.45,86,69.76744186046511,93.02325581395348,0.5232558139534884
1792,0.2,0.45,86,67.44186046511628,95.34883720930233,0.5232558139534884
1792,0.25,0.45,86,69.76744186046511,94.18604651162791,0.5116279069767442
1792,0.3,0.45,86,72.09302325581395,94.18604651162791,0.5
1792,0.35,0.45,86,74.4186046511628,94.18604651162791,0.47674418604651164
1792,0.4,0.45,86,75.5813953488372,93.02325581395348,0.47674418604651164
1792,0.45,0.45,86,75.5813953488372,93.02325581395348,0.47674418604651164
1792,0.5,0.45,86,74.4186046511628,91.86046511627907,0.5465116279069767
1792,0.6,0.45,86,70.93023255813954,88.37209302325581,0.6744186046511628
1792,0.05,0.6,86,44.18604651162791,73.25581395348837,1.0930232558139534
1792,0.1,0.6,86,59.30232558139535,77.90697674418605,0.7790697674418605
1792,0.15,0.6,86,62.7906976744186,89.53488372093024,0.6395348837209303
1792,0.2,0.6,86,66.27906976744185,94.18604651162791,0.5581395348837209
1792,0.25,0.6,86,67.44186046511628,93.02325581395348,0.5581395348837209
1792,0.3,0.6,86,67.44186046511628,94.18604651162791,0.5581395348837209
1792,0.35,0.6,86,70.93023255813954,94.18604651162791,0.5232558139534884
1792,0.4,0.6,86,72.09302325581395,93.02325581395348,0.5232558139534884
1792,0.45,0.6,86,70.93023255813954,93.02325581395348,0.5348837209302325
1792,0.5,0.6,86,70.93023255813954,91.86046511627907,0.5930232558139535
1792,0.6,0.6,86,69.76744186046511,88.37209302325581,0.686046511627907
1792,0.05,0.7,86,32.55813953488372,59.30232558139535,1.5232558139534884
1792,0.1,0.7,86,47.674418604651166,73.25581395348837,1.0232558139534884
1792,0.15,0.7,86,53.48837209302326,81.3953488372093,0.872093023255814
1792,0.2,0.7,86,58.13953488372093,84.88372093023256,0.7790697674418605
1792,0.25,0.7,86,58.13953488372093,86.04651162790698,0.7558139534883721
1792,0.3,0.7,86,59.30232558139535,86.04651162790698,0.7441860465116279
1792,0.35,0.7,86,62.7906976744186,87.20930232558139,0.686046511627907
1792,0.4,0.7,86,65.11627906976744,88.37209302325581,0.6395348837209303
1792,0.45,0.7,86,62.7906976744186,90.69767441860465,0.627906976744186
1792,0.5,0.7,86,62.7906976744186,90.69767441860465,0.6744186046511628
1792,0.6,0.7,86,65.11627906976744,87.20930232558139,0.7325581395348837
